Time (s),Grid Freq (Hz),RoCoF (Hz/s),Gear,Input Shaft RPM,Gen RPM,Torque (Nm),Target RPM,Injected Power (kW)
3.42,50.240876837050855,-2.7511875853480916,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.43,50.21288964578254,-2.8407280354258546,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.44,50.18406227634234,-2.91905742975338,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.45,50.15450849718747,-2.9858666379954713,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.46,50.12434494358243,-3.0408919947305435,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.47,50.09369065729286,-3.0839163400138148,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.48,50.06266661678215,-3.1147698764101506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.49,50.03139525976466,-3.1333308391076287,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.5,50.0,-3.1395259764657624,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.5100000000000002,49.96860474023534,-3.1333308391076287,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.52,49.93733338321785,-3.1147698764101506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.5300000000000002,49.90630934270714,-3.0839163400138148,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.54,49.87565505641757,-3.0408919947305435,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.5500000000000003,49.84549150281253,-2.9858666379954713,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.56,49.81593772365766,-2.91905742975338,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.5700000000000003,49.78711035421746,-2.8407280354258546,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.58,49.759123162949145,-2.7511875853480916,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.59,49.7320866025105,-2.6507894547691535,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.6,49.70610737385376,-2.5399298692420302,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.61,49.68128800512566,-2.41904634090524,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.62,49.65772644703566,-2.2886159418181506,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.63,49.635515686289295,-2.1491534211776298,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.64,49.614743378612104,-2.0012091738383475,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.65,49.59549150281253,-1.8453670681555678,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.66,49.57783603724899,-1.6822421417231226,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.67,49.561846659978066,-1.5124781741000959,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.68,49.54758647376699,-1.3367451461096636,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.69,49.53511175705587,-1.155736595728385,1,3000,1666.6666666666665,420.0,1500,73.30382858376183
3.7,49.52447174185242,-0.9701668810095043,2,3000,1650.0,398.1818181818182,1500,68.80087911361647
3.71,49.51570841943568,-0.7807683608383797,3,3000,1633.6633663366335,376.3636363636364,1500,64.3870969597116
3.72,49.508856374635656,-0.5882885046460729,4,3000,1617.6470588235295,354.54545454545456,1500,60.05985955392252
3.73,49.50394264934276,-0.3934869424895737,5,3000,1601.9417475728155,332.72727272727275,1500,55.8166461754303
3.74,49.500986635785864,-0.19713246713806143,6,3000,1586.5384615384617,310.90909090909093,1500,51.655033054216794
3.75,49.5,0.0,12,3000,1500.0,180.0,1500,28.274333882308138
3.7600000000000002,49.500986635785864,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
3.77,49.50394264934276,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
3.7800000000000002,49.508856374635656,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
3.79,49.51570841943568,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
3.8000000000000003,49.52447174185242,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
3.81,49.53511175705587,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
3.8200000000000003,49.54758647376699,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
3.83,49.561846659978066,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
3.84,49.57783603724899,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
3.85,49.59549150281253,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
3.86,49.614743378612104,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
3.87,49.635515686289295,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
3.88,49.65772644703566,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
3.89,49.68128800512566,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
3.9,49.70610737385376,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
3.91,49.7320866025105,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
3.92,49.759123162949145,2.7511875853480916,12,3000,1500.0,180.0,1500,28.274333882308138
3.93,49.78711035421746,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
